Company Name,Company HQ,Sector,URL,Date,
Abellio Greater Anglia,UK,Transport,https://www.abelliogreateranglia.co.uk/f/212342/212342.pdf,24/8/16,
ABInBev UK Limited,UK,Agriculture/food/beverage,http://www.ab-inbev.co.uk/sitemap/slavery-human-trafficking-statement/,23/8/16,
Acal plc,UK,Manufacturing,http://www.acal.co.uk/acal/en/investors/corpgov/mod-slavery-statement,8/30/16,
Accord Group,UK,Services,https://accordgroup.org.uk/about/about-us/mission-and-values,17/8/16,
Adactus Housing Group,UK,Real estate,https://aha.adactushousing.co.uk/Information/834#chapterLink1,17/8/16,
Addo Food Group,UK,Agriculture/food/beverage,http://www.addofoodgroup.com/media/1178/slavery.pdf,17/8/16,
Adobe,USA,Technology,http://wwwimages.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/adobe-slavery-and-human-trafficking-policy-statement.pdf,17/8/16,
Affinity Sutton,UK,Real estate,http://www.affinitysutton.com/about-us/how-we-are-run/anti-slavery-and-human-trafficking-statement/,17/8/16,
AGS Airports Limited,UK,Transport,https://www.aberdeenairport.com/about-us/slavery-and-human-trafficking-statement/,17/8/16,
Aintree University Hospital,UK,Health,https://www.aintreehospital.nhs.uk/media/2151/modern-slavery-act-statement.pdf,8/25/16,
Aircelle Limited ,UK,Manufacturing ,http://www.safran-nacelles.com/file/download/aircelle_-_anti_slavery_statement_-_10-11-15.pdf.,17/8/16,
Aktrion Holdings ,UK,Professional services,http://aktrion.com/wp-content/uploads/2016/04/LG023_Modern_Slavery_Statement_Signed.pdf,17/8/16,
Albert Bartlett,UK,Agriculture/food/beverage,http://albertbartlett.co.uk/albert-bartlett-slavery-and-human-trafficking-company-statement,17/8/16,
Aldermore Group PLC,UK,Finance,http://www.aldermore.co.uk/media/3573/modern-slavery-act-2015-statement.pdf,17/8/16,
Alstom Transport Uk Limited,UK,Transport,http://www.alstom.com/Global/UK/Resources/Documents/2016%20Slavery%20and%20Human%20Trafficking%20Statement.pdf?epslanguage=en-GB,22/8/16,
Alternative Futures Group,UK,Services,http://alternativefuturesgroup.org.uk/alternative-futures-group-slavery-and-human-trafficking-statement/,17/8/16,
AMG Advanced Metallurgical Group N.V.,Netherlands,Chemical,http://s1.q4cdn.com/411066846/files/doc_downloads/2016/Modern-Slavery-Act-Statement.final.01.01.2016.pdf,17/8/16,
AmicusHorizon,UK,Real estate,http://www.amicushorizon.org.uk/AmicusHorizon/media/AMHMediaLibrary/Files/PDFs/Leaflets%20and%20Publications/Modern%20Slavery%20Statement/Modern-Slavery-Statement.pdf,17/8/16,
Ampersand,UK,Services,http://www.ampersandcatering.co.uk/policies/Modern%20Slavery%20Policy.pdf,17/8/16,
Anglian Water Services Ltd,UK,Utilities ,http://www.anglianwater.co.uk/_assets/media/modern_slavery_and_trafficking_statement_2016.pdf,17/8/16,
Angus Soft Fruits,UK,Agriculture/food/beverage,http://www.angussoftfruits.co.uk/about-us/modern-slavery-statement-financial-year-201516/,8/25/16,
Annodata,UK,Professional services,http://www.annodata.co.uk/wp-content/uploads/2016/03/ModernSlaveryActPolicy2015_v3.docx.pdf,17/8/16,
AQA,UK,Services,http://www.aqa.org.uk/about-us/who-we-are/our-standards/modern-slavery-statement,8/26/16,
Aramex,UAE,Transport,https://www.aramex.com/content/uploads/100/55/50528/Modern%20Slavery%20Act.pdf,17/8/16,
Arcus,UK,Services,http://www.arcus.holdings/about-us/modern-slavery-and-human-trafficking-statement,17/8/16,
Arqiva Group,UK,Technology,https://www.arqiva.com/documentation/corporate/Arqiva+Modern+Slavery+Act+Statement.pdf,17/8/16,
Arvato UK,UK,Services,https://www.arvato.com/content/dam/arvato/documents/leagal/140417_arvato_UK_Statement_on_Slavery_and_Human_Trafficking_V1c%20U.PDF,17/8/16,
ASCO Group Limited,UK,Services,http://www.ascoworld.com/sites/default/files/documents/slavery_and_human_trafficking_statement_rev_1_-_19.07.16_002.pdf,17/8/16,
Ashford and St Peter’s Hospital,UK,Health,https://www.ashfordstpeters.info/images/other/SlaveryApr2016.pdf,17/8/16,
Associated British Foods,UK,Agriculture/food/beverage,https://business-humanrights.org/sites/default/files/documents/ABF_Slavery%20and%20Human%20Trafficking%20statement_DRAFT-%2012.07.16.pdf,17/8/16,
Astute Technical Recruitment Limited,UK,Professional services,https://www.astutetechnical.co.uk/policies/modern-slavery-act?,17/8/16,
Attenda,UK,Technology,http://www.attenda.com/legal/anti-slavery-human-trafficking-statement/,8/26/16,
Aurionpro Solutions,India,Services,http://www.aurionpro.com/wp-content/uploads/2016/04/ANTISLAVERY-AND-TRAFFICKING-POLICY-UK-2016final.pdf,17/8/16,
Axalta UK ,USA,Chemical,http://www.axaltacs.com/corporate/en_US/about-axalta/the-modern-slavery-act-disclosure-statement.print.pdf,17/8/16,
B&M,UK,Consumer products/retail,http://www.bandmretail.com/corporate-responsibility/anti-slavery-policy.aspx,17/8/16,
Babcock International Group PLC,UK,Professional services,https://www.babcockinternational.com/About/Sustainability/Babcock-approach-to-Ethical-compliance,17/8/16,
Ballyvesey Holdings,UK,Services,http://www.intercounty.org.uk/pages/legal/modern-slavery-human-trafficking-statement,17/8/16,
Bank of Baroda,India,Finance,http://www.bankofbarodauk.com/assets/pdf/AnnualPolicyStatementBankOfBarodaAntiSlaveryAndHumanTraffickingstatement31March2016.pdf,17/8/16,
Banner Plant (part of Henry Boot PLC),UK,Services,http://www.bannerplant.co.uk/news/22/the-modern-slavery-act-2015-group-statement,17/8/16,
Barker Ross Group,UK,Services,http://www.barkerross.co.uk/modern-slavery-act-2015/,17/8/16,
Base Performance Simulators,UK,Services,http://baseperformance.net/modern-slavery-and-human-trafficking-statement.php ,17/8/16,
Beachbody,USA,Consumer products/retail,https://www.beachbody.co.uk/product/about/uk-modern-slavery-act-disclosure-2015.do,17/8/16,
Beale and Co,UK,Professional services,http://www.beale-law.com/slavery.php,17/8/16,
Beeswift ,UK,Consumer products/retail,http://www.beeswift.co.uk/web/uk/page?page=HumanTrafficingandSlaveryPolicy,17/8/16,
Bell Truck and Van,UK,Transport,http://www.belltruckandvan.co.uk/pages/legal/statement,17/8/16,
Berkeley Group Holdings plc,UK,Real estate,http://www.berkeleygroup.co.uk/modern-slavery-statement,8/30/16,
Berry Gardens,UK,Agriculture/food/beverage,http://berrygardens.co.uk/about-us-modern-slavery-act-statement/,17/8/16,
Bevan Brittan,UK,Professional services,https://www.bevanbrittan.com/modern-slavery-statement/,17/8/16,
BFS Group Ltd,UK,Consumer products/retail,http://www.bidvest.co.uk/sites/bidvest.co.uk/files/Modern%20slavery%20July%202016.pdf,17/8/16,
Bidwells,UK,Professional services,http://www.bidwells.co.uk/company/statements/,17/8/16,
Big Yellow Self Storage,UK,Services,http://corporate.bigyellow.co.uk/investors/governance/slavery-and-human-trafficking-statement.aspx,8/25/16,
Birmingham Airport,UK,Transport,https://www.birminghamairport.co.uk/media/2508/slavery-statement.pdf,17/8/16,
Blackwell’s,UK,Consumer products/retail,http://bookshop.blackwell.co.uk/jsp/editorial/SlaveryStatement.jsp;jsessionid=07A9C627C409ACE5BE69D83D0DE1574F.b6a2,17/8/16,
Boston Consulting Group UK LLP,USA,Professional services,http://image-src.bcg.com/BCG_COM/Modern%20Slavery%20Act%20-%20June%202016_tcm21-39866.pdf,17/8/16,
Bracknell Forest Homes,UK,Real estate,https://www.bracknellforesthomes.org.uk/anti-slavery,17/8/16,
Brainlab UK,Germany,Professional services,https://www.brainlab.com/wp-content/uploads/2016/06/Brainlab-Slavery-and-Human-Trafficking-Statement.pdf,17/8/16,
Brandon Trust,UK,Services,https://www.brandontrust.org/media/226662/modern-slavery-human-trafficking-statement.pdf,17/8/16,
BRE Group,UK,Professional services,https://www.bre.co.uk/filelibrary/pdf/corporate/XA11-Modern-Slavery-Act-statement.pdf,8/26/16,
Bridge of Weir Leather Company,UK,Apparel & textile ,http://www.bowleather.com/Heritage/Governance.aspx,17/8/16,
Bright Blue Food Ltd,UK,Consumer products/retail,http://www.brightbluefoods.com/BBF_Anti_Slavery.pdf,17/8/16,
British Hospitality Association,UK,Travel,http://www.bha.org.uk/wordpress/wp-content/uploads/2015/08/Modern-Slavery-Act-Summary.pdf,17/8/16,
Broadacres Housing Association ,UK,Real estate,http://www.broadacres.org.uk/SiteFiles/Content/MediaLibrary/Images/Footer/Slavery-Statement-v2.pdf,17/8/16,
Brook Street,UK,Services,https://www.brookstreet.co.uk/modern-slavery-and-human-trafficking-statement/000106.html,17/8/16,
Brymor,UK,Construction & building materials ,http://www.brymor.co.uk/wordpress/wp-content/uploads/2016/08/Modern_slavery_and_human_trafficking_statement.pdf,17/8/16,
BT Group,UK,Technology,https://www.btplc.com/Thegroup/Ourcompany/Ourvalues/ModernSlaveryAct/ModernSlaverystatement.pdf,17/8/16,
Buckingham Group Contracting,UK,Services,http://www.buckinghamgroup.co.uk/images/anti_slavery_and_human_trafficking_policy_statement_2016.pdf,17/8/16,
Burrows Motor Company,UK,Transport,http://www.burrowsmotorcompany.co.uk/terms-conditions/,17/8/16,
Bytes Technology Group,S. Africa,Professional services,http://www.bytes.co.uk/files/7514/4438/5778/Modern_Slavery_Act_Statement_-_2015.pdf,17/8/16,
Bywaters,UK,Utilities,http://www.bywaters.co.uk/documents/2016/modern_slavery_and_human_trafficking_statement_by_bywaters.pdf,17/8/16,
C.HAFNER,Germany,Metals/plastics/basic metals,http://www.c-hafner.de/fileadmin/statement_modern_slavery_act_2015_part6_2015-07-29.pdf,17/8/16,
Cambridge Weight Plan,UK,Agriculture/food/beverage,http://www.cambridgeweightplan.com/about-us/slavery,23/8/16,
Camelot Group,UK,Leisure,http://www.camelotgroup.co.uk/modern-slavery-act,17/8/16,
Camira Fabrics,UK,Apparel & textile ,https://www.camirafabrics.com/help/modern-slavery-statement,17/8/16,
Campbell Soup,USA,Agriculture/food/beverage,http://phx.corporate-ir.net/External.File?item=UGFyZW50SUQ9MjA1MDY3fENoaWxkSUQ9LTF8VHlwZT0z&t=1.,17/8/16,
Cantel Medical Corp,USA,Health,http://www.cantelmedical.com/library/Cantel-Medical-Corp-Policy-Statement-Related-to-Slavery-and-Human-Trafficking-FINAL-EV-1-29-2016.pdf,17/8/16,
Capsticks Solicitors LLP,UK,Professional services,http://www.capsticks.com/about-us/modern-slavery-and-human-trafficking-statement/,22/8/16,
Care UK ,UK,Health,http://www.careukgroup.com/sites/group/files/wysiwyg/Anti-Slavery%20and%20Human%20Trafficking%20annual%20statement.pdf,17/8/16,
Cargill,USA,Agriculture/food/beverage,http://www.cargill.co.uk/en/slavery-human-trafficking/index.jsp,17/8/16,
Caring Homes Group,UK,Services,http://www.caringhomes.org/wp-content/uploads/2016/07/Anti-slavery-statement-July-2016.pdf,17/8/16,
Carter Jonas ,UK,Professional services,http://www.carterjonas.co.uk/~/media/Files/The%20Modern%20Slavery%20Act.ashx,17/8/16,
Castell Howell Foods Limited,UK,Agriculture/food/beverage,http://www.castellhowellfoods.co.uk/wp-content/uploads/2016/08/Transparency-Statement-1.pdf,9/2/16,
Catalent,USA,Health,http://www.catalent.com/index.php/Other/Modern-Slavery-Statement,17/8/16,
CDC Group,UK,Professional services,http://www.cdcgroup.com/Documents/CDC%20Modern%20Slavery%20Act%20Statement%20-%20May%202016.pdf ,17/8/16,
CDK Global,USA,Technology,http://www.cdk-global.com/pdf/CDK_GLOBAL_Modern_Slavery_Statement_July_2016.pdf,17/8/16,
CEMEX,Mexico,Construction & building materials ,http://www.cemex.co.uk/modern-slavery-act.aspx,17/8/16,
Centregreat Group,UK,Construction,http://www.centregreat.co.uk/Modern%20Slavery%20Statement.pdf,17/8/16,
CH & Co Catering Group ,UK,Services,http://www.chandco.net/policies/Modern%20Slavery%20Statement.pdf,17/8/16,
Charles Wilson Engineers Ltd.,UK,Construction & building materials ,http://www.cwplant.co.uk/wp-content/uploads/2012/11/Anti-Slavery-Human-Trafficking-Statement.pdf,17/8/16,
Christie (The),UK,Health,http://www.christie.nhs.uk/media/4045/statement-modern-slavery-may-2016.pdf,17/8/16,
Circle Housing Group,UK,Real estate,http://www.circle.org.uk/Your_home/circle-housing-policies/Anti-Slavery_and_Human_Trafficking_Transparency_Statement,17/8/16,
CIS Security Limited ,UK,Services,http://cis-security.co.uk/media/Modern-Slavery-and-Human-Trafficking-Statement-2015-16.pdf,17/8/16,
City and County Healthcare Group,UK,Health,http://www.comfortcall.co.uk/modern-slavery,17/8/16,
Clarke Energy,UK,Professional services,https://www.clarke-energy.com/anti-slavery-policy/,17/8/16,
Clarke Willmott LLP,UK,Professional services,https://www.clarkewillmott.com/statement-human-trafficking-slavery/,17/8/16,
Clearwater Group Ltd,UK,Professional services,http://www.clearwater.eu.com/about/clearwater-policy-statement-modern-slavery-act-2015,17/8/16,
Cloudreach,UK,Technology,https://www.cloudreach.com/gb-en/modern-slavery-statement/ ,17/8/16,
